frase,tag
quero fazer uma solicitação de mudança de endereço,mudar-endereco
preciso de atendimento pois a linha residencial não está fazendo ligação,reparar-linha
como posso obter uma linha telefônica expresso,comprar-linha
o telefone não é meu da minha é do meu irmão está cortado e a conta tá paga eu tô ligando na minha linha pra saber o que aconteceu,reparar-linha
eu quero que arrumem meu telefone,reparar-linha
o telefone não tá tocando,reparar-linha
eu quero reclamar do meu telefone fixo que está com defeito,reparar-linha
conta pagar minha conta,pagar-conta
recramação na linha,reparar-linha
a linha está com barulho,reparar-linha
reparo no telefone está desligado,reparar-linha
quero saber como destrava telefone,reparar-linha
eu queria solicitar o reparo da minha linha que esta com defeito,reparar-linha
chiado na linha problema defeito,reparar-linha
é falar com técnico porque o telefone não está recebendo chamada,reparar-linha
falar com um dos um dos atendente para pedir outra linha telefônica,comprar-linha
quero ter um telefone em casa,comprar-linha
estou com o telefone sem funcionar,reparar-linha
o meu telefone não está fazendo chamada,reparar-linha
eu quero pedir outra linha de telefone,comprar-linha
reparo na minha linha de telefone,reparar-linha
é que meu aparelho telefônico está com problema quer dizer a linha,reparar-linha
sobre conserto da minha linha telefônica,reparar-linha
quero a linha econômica,comprar-linha
é eu quero que vem alguém aqui na minha casa pra arrumar meu telefone fixo que não está funcionando,reparar-linha
como faço pra fazer um telegrama pelo telefone,reparar-linha
residencial quero nova linha,comprar-linha
o meu telefone não tá fazendo ligação é linha econômica e não liga aqui dentro do da cidade não tá fazendo ligação nem nada,reparar-linha
quero conversar sobre mudança de endereço,mudar-endereco
quero que conserte o meu telefone,reparar-linha
é pra fazer um reparo da minha linha fixo da produto,reparar-linha
conserto de linha por favor,reparar-linha
então eu tenho um débito não é da produto é da telefônica e eu gostaria de quitá-lo ele como que eu tô como que eu posso tá fazendo,pagar-conta
eu quero conserto do meu telefone,reparar-linha
desejo no reparo no telefone citado conserto,reparar-linha
informação do meu telefone que não está funcionando,reparar-linha
não recebo não consigo fazer ligação no meu telefone,reparar-linha
é cancelamento de uma conta,cancelar-conta
eu quero pedir uma linha,comprar-linha
como faço para aquisição de uma linha telefônica,comprar-linha
eu mudei e preciso de uma transferência de endereço,mudar-endereco
telefone tá cortado,reparar-linha
pagamento incorreto,pagar-conta
solicitação de conserto de linha,reparar-linha
é ver o reparo da linha telefone fixo,reparar-linha
contratar nova linha,comprar-linha
quero alterar o endereço do meu telefone,mudar-endereco
reclamar da linha de telefone,reparar-linha
estou com uma dívida eu quero quitar a dívida,pagar-conta
cancelar a conta a linha,cancelar-conta
a minha linha não esta ligada,reparar-linha
como eu posso ter uma linha fixo sem é é,comprar-linha
problema na minha linha,reparar-linha
nova linha nova linha,comprar-linha
eu quero saber sobre a linha controle que eu assinei não resolve o problema,reparar-linha
a uns três dias o a linha foi cortada ninguém consegue fazer,reparar-linha
quero saber como que eu posso pedir uma linha,comprar-linha
solicitar linha nova,comprar-linha
eu quero adquirir um telefone fixo,comprar-linha
estou com um problema na minha linha telefônica,reparar-linha
telefone manutenção,reparar-linha
solicitar reparo da linha,reparar-linha
quero saber porque meu telefone esta desligado,reparar-linha
a não consigo fazer ligação externa,reparar-linha
solicito reparo e conserto da linha,reparar-linha
reparo de linha de telefone,reparar-linha
tô sem linha,reparar-linha
saber o porque eu não estou conseguindo fazer ligação,reparar-linha
quero falar sobre meu telefone está cortado,reparar-linha
é reparo numa linha numa linha,reparar-linha
o meu telefone toda vez que eu ligo ele consta que o número não existe,reparar-linha
pagar a dívida,pagar-conta
o telefone não está fazendo ligações,reparar-linha
esse telefone tá com a linha com bastante ruído,reparar-linha
quero serviço do meu telefone pro meu telefone,reparar-linha
estou com problema no meu telefone,reparar-linha
é quero reclamação tô sem linha,reparar-linha
é conserto na minha linha,reparar-linha
eu queria saber porque que meu telefone não esta fazendo,reparar-linha
meu telefone o meu telefone está desligado,reparar-linha
é telefone não funciona,reparar-linha
eu gostaria de pedir um reparo na minha linha telefônica que está com defeito,reparar-linha
desejo fazer manutenção na minha linha telefônica ruido anormal,reparar-linha
eu quero saber porque não tô conseguindo fazer ligação,reparar-linha
é reparo na na linha,reparar-linha
o telefone não disca pra fora,reparar-linha
prefiro preciso de uma linha telefônica,comprar-linha
reparo na linha tá com muita chiadeira,reparar-linha
como faço para solicitar a linha controle,comprar-linha
eu quero pedir uma linha telefônica,comprar-linha
pagar débitos antigos,pagar-conta
quero falar sobre a linha de telefone que esta quebrada aqui na rua,reparar-linha
reparo no produto telefone,reparar-linha
reparo na linha tá chiando e as pessoas ligam e meu telefone não toca e pra eles toca,reparar-linha
mudança de endereço da conta,mudar-endereco
cancelei a minha conta e não foi cancelada,cancelar-conta
tá tendo interferência na minha linha,reparar-linha
eu gostaria de que eu estou mudando de endereço para mudar meu telefone,mudar-endereco
como faço para resolver problema do meu telefone com defeito,reparar-linha
é conserto na linha telefônica,reparar-linha
sem telefone sem telefone,reparar-linha
transferência de endereço de telefone,mudar-endereco
quero cancelar a minha conta,cancelar-conta
pagar minha conta,pagar-conta
fazer reparo da linha,reparar-linha
pedir nova linha,comprar-linha
nenhum dessas opções eu quero o problema tá tô com problema no meu telefone tá uma chiadeira danada e não tô conseguindo,reparar-linha
o motivo o motivo da minha chamada é que eu eu pego o gancho já na mão já tá tudo ocupado,reparar-linha
eu quero conserto do telefone meu telefone tá sem linha,reparar-linha
quero saber porque meu telefone não tá recebendo chamada a cobrar,reparar-linha
motivo da linha linha cruzada,reparar-linha
não consigo fazer ligação do meu telefone o telefone eu recebo mais não posso ligar pra fora,reparar-linha
como faço para cancelar débitos na minha conta de telefone,cancelar-conta
meu telefone não está não está recebendo ligações,reparar-linha
eu quero cancelar o desper o despertador,cancelar-servicos
é sobre a minha linha de telefone que está com problema,reparar-linha
acertar conta atrasada que eu não pude,pagar-conta
saber porque meu telefone não funciona,reparar-linha
quero colocar a linha econômica,comprar-linha
ajuda é meu telefone com defeito,reparar-linha
é conserto de telefone,reparar-linha
foi mudado de linha eu quero porque meu telefone está desligado só tá recebendo,reparar-linha
quero um fixo,comprar-linha
meu telefone não faz ligação só recebo,reparar-linha
verificar problema no telefone,reparar-linha
quero saber porque que este número só dá temporariamente fora de serviço,reparar-linha
defeitos na linha,reparar-linha
cancelar contrato de adesão,cancelar-conta
é visita do técnico,vago-visitaTecnica
linha não está funcionando,reparar-linha
eu quero adquirir dez linhas telefônica,comprar-linha
gostaria de saber a respeito de mudança de telefone de endereço,mudar-endereco
é reparo na minha linha,reparar-linha
preciso de ligar não tô por causa que o telefone não tem,reparar-linha
mudar o endereço do fixo,mudar-endereco
eu quero saber sobre um defeito no meu telefone,reparar-linha
é um defeito no fixo,reparar-linha
assistência técnica telefone fixo,reparar-linha
preciso reparo na minha linha,reparar-linha
como eu faço para pagar a minha conta,pagar-conta
eu quero cancelar serviço de ligação para celular e é cobrar,cancelar-servicos
ativar produto fixo,comprar-linha
reparo da linha telefônica conserto,reparar-linha
eu quero solicitar uma nova linha,comprar-linha
gostaria de saber porque que meu telefone não recebe não faz chamada,reparar-linha
problema no produto fixo,reparar-linha
meu telefone ainda não está funcionando,reparar-linha
aquisição de linha nova,comprar-linha
quero saber porque meu telefone não está fazendo chamada,reparar-linha
eu quero que remexe no meu telefone que ele só toca pra atender e chamar não chama,reparar-linha
quero saber se estão clonando o meu telefone,reparar-linha
telefone não tá fazendo ligação,reparar-linha
motivo é que meu telefone não tá fazendo a minha linha só tá recebendo queria saber qual o motivo tenho quatro anos com ele,reparar-linha
preciso de conserto na linha telefônica caiu um poste,reparar-linha
quero saber qual conta vou pagar esse mês,pagar-conta
não está funcionando a minha linha,reparar-linha
eu tenho duas contas pra pagar aqui de segunda via e me ligaram aqui pra saber da conta,pagar-conta
o meu telefone a hora discado tem momentos que ele dá ocupado e momentos que não dá linha agora por exemplo está dando linha e não dá sinal de ocupado,reparar-linha
como posso fazer meu telefone funcionar,reparar-linha
pedir uma ligação de linha,comprar-linha
eu quero conserto pra para telefone que esta sem linha,reparar-linha
reclamar sobre a minha linha telefônica que não tá dando linha,reparar-linha
reagendar visita do técnico do internet,vago-visitaTecnica
quero pedir uma nova linha telefônica,comprar-linha
é problema na linha telefônica com barulho,reparar-linha
eu quero que venham reparar que meu telefone está chiando muito,reparar-linha
eu quero saber qual o problema com meu telefone,reparar-linha
reparo no meu telefone,reparar-linha
minha linha tá com defeito faz quarenta dias que eu não não tenho telefone,reparar-linha
é meu telefone está é temporariamente fora de serviço eu gostaria de saber porque,reparar-linha
cancelamento dos serviços da telefônica,cancelar-servicos
meu telefone só tá dando ocupado eu queria saber porque se vocês cortaram meu telefone que que aconteceu,reparar-linha
não tô conseguindo fazer chamadas,reparar-linha
eu quero uma solução para arrumar meu telefone,reparar-linha
ativação telefone produto fixo,comprar-linha
linha do telefone bloqueado,reparar-linha
consertar o telefone está quebrado,reparar-linha
fazer pagamento de conta,pagar-conta
defeito no telefone na linha de telefone,reparar-linha
como faço para adquirir uma linha lazer,comprar-linha
